--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀381.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31851, curr_params.time_get_image: 15116, offset_y_cm from origin: 40.41, hokan nasi offset_x_cm for ac: -41.93, offset_x_cm for ac: -42.53, filterd_offset_x_cm: -42.23
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31863, curr_params.time_get_image: 15116, offset_y_cm from origin: 41.41, hokan nasi offset_x_cm for ac: -41.97, offset_x_cm for ac: -42.60, filterd_offset_x_cm: -42.33
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31875, curr_params.time_get_image: 15116, offset_y_cm from origin: 42.41, hokan nasi offset_x_cm for ac: -42.00, offset_x_cm for ac: -42.67, filterd_offset_x_cm: -42.42
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31887, curr_params.time_get_image: 15345, offset_y_cm from origin: 25.20, hokan nasi offset_x_cm for ac: -42.34, offset_x_cm for ac: -42.22, filterd_offset_x_cm: -42.36
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31899, curr_params.time_get_image: 15345, offset_y_cm from origin: 26.20, hokan nasi offset_x_cm for ac: -42.51, offset_x_cm for ac: -42.46, filterd_offset_x_cm: -42.39
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31911, curr_params.time_get_image: 15345, offset_y_cm from origin: 27.20, hokan nasi offset_x_cm for ac: -42.68, offset_x_cm for ac: -42.67, filterd_offset_x_cm: -42.46
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31923, curr_params.time_get_image: 15345, offset_y_cm from origin: 28.20, hokan nasi offset_x_cm for ac: -42.82, offset_x_cm for ac: -42.85, filterd_offset_x_cm: -42.57
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31935, curr_params.time_get_image: 15345, offset_y_cm from origin: 29.20, hokan nasi offset_x_cm for ac: -42.95, offset_x_cm for ac: -43.02, filterd_offset_x_cm: -42.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31947, curr_params.time_get_image: 15345, offset_y_cm from origin: 31.20, hokan nasi offset_x_cm for ac: -43.06, offset_x_cm for ac: -43.20, filterd_offset_x_cm: -42.83
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31959, curr_params.time_get_image: 15345, offset_y_cm from origin: 32.20, hokan nasi offset_x_cm for ac: -43.15, offset_x_cm for ac: -43.34, filterd_offset_x_cm: -42.97
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31971, curr_params.time_get_image: 15345, offset_y_cm from origin: 33.20, hokan nasi offset_x_cm for ac: -43.24, offset_x_cm for ac: -43.46, filterd_offset_x_cm: -43.10
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31983, curr_params.time_get_image: 15345, offset_y_cm from origin: 34.20, hokan nasi offset_x_cm for ac: -43.31, offset_x_cm for ac: -43.56, filterd_offset_x_cm: -43.23
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 31995, curr_params.time_get_image: 15345, offset_y_cm from origin: 35.20, hokan nasi offset_x_cm for ac: -43.37, offset_x_cm for ac: -43.66, filterd_offset_x_cm: -43.35
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32007, curr_params.time_get_image: 15345, offset_y_cm from origin: 37.20, hokan nasi offset_x_cm for ac: -43.42, offset_x_cm for ac: -43.78, filterd_offset_x_cm: -43.47
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32019, curr_params.time_get_image: 15345, offset_y_cm from origin: 38.20, hokan nasi offset_x_cm for ac: -43.47, offset_x_cm for ac: -43.86, filterd_offset_x_cm: -43.58
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32031, curr_params.time_get_image: 15345, offset_y_cm from origin: 39.20, hokan nasi offset_x_cm for ac: -43.51, offset_x_cm for ac: -43.94, filterd_offset_x_cm: -43.68
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32043, curr_params.time_get_image: 15345, offset_y_cm from origin: 40.20, hokan nasi offset_x_cm for ac: -43.54, offset_x_cm for ac: -44.01, filterd_offset_x_cm: -43.77
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32055, curr_params.time_get_image: 15345, offset_y_cm from origin: 42.20, hokan nasi offset_x_cm for ac: -43.57, offset_x_cm for ac: -44.10, filterd_offset_x_cm: -43.86
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32067, curr_params.time_get_image: 15345, offset_y_cm from origin: 43.20, hokan nasi offset_x_cm for ac: -43.60, offset_x_cm for ac: -44.16, filterd_offset_x_cm: -43.94
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32079, curr_params.time_get_image: 15345, offset_y_cm from origin: 44.20, hokan nasi offset_x_cm for ac: -43.62, offset_x_cm for ac: -44.22, filterd_offset_x_cm: -44.02
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32091, curr_params.time_get_image: 15345, offset_y_cm from origin: 46.20, hokan nasi offset_x_cm for ac: -43.64, offset_x_cm for ac: -44.30, filterd_offset_x_cm: -44.10
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -42.96, current_time_ms: 32103, curr_params.time_get_image: 15345, offset_y_cm from origin: 47.20, hokan nasi offset_x_cm for ac: -43.66, offset_x_cm for ac: -44.35, filterd_offset_x_cm: -44.17
