--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140948, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140959, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140970, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140982, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140993, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141004, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141015, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141026, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141037, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141048, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141059, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141070, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141081, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141092, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141103, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141114, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141125, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141136, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141147, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141158, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141169, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141180, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141191, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141202, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141213, curr_params.time_get_image: 54864, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141225, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141236, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141247, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141258, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141269, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141280, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
