--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀rigin: 0.00, hokan nasi offset_x_cm for ac: -46.40, offset_x_cm for ac: -46.38
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153928, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.86, offset_x_cm for ac: -26.88
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153939, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.81, offset_x_cm for ac: -26.83
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153950, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.76, offset_x_cm for ac: -26.78
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153961, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.71, offset_x_cm for ac: -26.73
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153972, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.66, offset_x_cm for ac: -26.68
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153983, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.61, offset_x_cm for ac: -26.63
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153994, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.56, offset_x_cm for ac: -26.58
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154005, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.51, offset_x_cm for ac: -26.54
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154016, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.47, offset_x_cm for ac: -26.49
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154027, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.42, offset_x_cm for ac: -26.44
