--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀40.33, offset_x_cm for ac: -40.32
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109096, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.70, offset_x_cm for ac: -39.70
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109107, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109118, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109129, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109140, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.68, offset_x_cm for ac: -39.68
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109151, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.68, offset_x_cm for ac: -39.68
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109162, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.68, offset_x_cm for ac: -39.68
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109173, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.67, offset_x_cm for ac: -39.67
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109184, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.67, offset_x_cm for ac: -39.67
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109195, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.67, offset_x_cm for ac: -39.67
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109206, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.66, offset_x_cm for ac: -39.66
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109217, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.66, offset_x_cm for ac: -39.66
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109228, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.66, offset_x_cm for ac: -39.66
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109239, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.65, offset_x_cm for ac: -39.66
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109250, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.65, offset_x_cm for ac: -39.65
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109261, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.65, offset_x_cm for ac: -39.65
