send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36013, curr_params.time_get_image: 16286, offset_y_cm from origin: 42.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.58
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36024, curr_params.time_get_image: 16286, offset_y_cm from origin: 43.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.59
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36035, curr_params.time_get_image: 16286, offset_y_cm from origin: 44.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.59
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36046, curr_params.time_get_image: 16286, offset_y_cm from origin: 46.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.61
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36057, curr_params.time_get_image: 16286, offset_y_cm from origin: 47.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.61
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36068, curr_params.time_get_image: 16286, offset_y_cm from origin: 48.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.62
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36079, curr_params.time_get_image: 16286, offset_y_cm from origin: 49.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.63
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36090, curr_params.time_get_image: 16286, offset_y_cm from origin: 50.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.63
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36101, curr_params.time_get_image: 16286, offset_y_cm from origin: 51.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.64
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36112, curr_params.time_get_image: 16286, offset_y_cm from origin: 52.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.64
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36123, curr_params.time_get_image: 16286, offset_y_cm from origin: 53.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.65
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36135, curr_params.time_get_image: 16516, offset_y_cm from origin: 24.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.60
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36146, curr_params.time_get_image: 16516, offset_y_cm from origin: 25.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.60
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36157, curr_params.time_get_image: 16516, offset_y_cm from origin: 26.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.61
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36168, curr_params.time_get_image: 16516, offset_y_cm from origin: 27.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.62
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36179, curr_params.time_get_image: 16516, offset_y_cm from origin: 28.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.63
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36190, curr_params.time_get_image: 16516, offset_y_cm from origin: 29.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.63
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36201, curr_params.time_get_image: 16516, offset_y_cm from origin: 29.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.63
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36212, curr_params.time_get_image: 16516, offset_y_cm from origin: 30.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.64
