--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀.64
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616671, curr_params.time_get_image: 21064, offset_y_cm from origin: 7.30, hokan nasi offset_x_cm for ac: -26.63, offset_x_cm for ac: -26.52
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616682, curr_params.time_get_image: 21064, offset_y_cm from origin: 6.30, hokan nasi offset_x_cm for ac: -26.65, offset_x_cm for ac: -26.54
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616693, curr_params.time_get_image: 21064, offset_y_cm from origin: 5.30, hokan nasi offset_x_cm for ac: -26.67, offset_x_cm for ac: -26.55
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616704, curr_params.time_get_image: 21064, offset_y_cm from origin: 5.30, hokan nasi offset_x_cm for ac: -26.69, offset_x_cm for ac: -26.57
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616715, curr_params.time_get_image: 21064, offset_y_cm from origin: 4.30, hokan nasi offset_x_cm for ac: -26.71, offset_x_cm for ac: -26.57
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616726, curr_params.time_get_image: 21064, offset_y_cm from origin: 3.30, hokan nasi offset_x_cm for ac: -26.73, offset_x_cm for ac: -26.58
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616737, curr_params.time_get_image: 21064, offset_y_cm from origin: 2.30, hokan nasi offset_x_cm for ac: -26.74, offset_x_cm for ac: -26.58
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616748, curr_params.time_get_image: 21064, offset_y_cm from origin: 2.30, hokan nasi offset_x_cm for ac: -26.76, offset_x_cm for ac: -26.59
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616759, curr_params.time_get_image: 21064, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -26.77, offset_x_cm for ac: -26.60
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616770, curr_params.time_get_image: 21064, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -26.78, offset_x_cm for ac: -26.59
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616782, curr_params.time_get_image: 21305, offset_y_cm from origin: 17.23, hokan nasi offset_x_cm for ac: -26.69, offset_x_cm for ac: -26.75
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616793, curr_params.time_get_image: 21305, offset_y_cm from origin: 17.23, hokan nasi offset_x_cm for ac: -26.56, offset_x_cm for ac: -26.62
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616804, curr_params.time_get_image: 21305, offset_y_cm from origin: 16.23, hokan nasi offset_x_cm for ac: -26.45, offset_x_cm for ac: -26.49
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616815, curr_params.time_get_image: 21305, offset_y_cm from origin: 15.23, hokan nasi offset_x_cm for ac: -26.34, offset_x_cm for ac: -26.37
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616826, curr_params.time_get_image: 21305, offset_y_cm from origin: 14.23, hokan nasi offset_x_cm for ac: -26.25, offset_x_cm for ac: -26.25
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616837, curr_params.time_get_image: 21305, offset_y_cm from origin: 14.23, hokan nasi offset_x_cm for ac: -26.17, offset_x_cm for ac: -26.17
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616848, curr_params.time_get_image: 21305, offset_y_cm from origin: 13.23, hokan nasi offset_x_cm for ac: -26.09, offset_x_cm for ac: -26.07
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616859, curr_params.time_get_image: 21305, offset_y_cm from origin: 12.23, hokan nasi offset_x_cm for ac: -26.02, offset_x_cm for ac: -25.98
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616870, curr_params.time_get_image: 21305, offset_y_cm from origin: 11.23, hokan nasi offset_x_cm for ac: -25.95, offset_x_cm for ac: -25.90
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616881, curr_params.time_get_image: 21305, offset_y_cm from origin: 10.23, hokan nasi offset_x_cm for ac: -25.89, offset_x_cm for ac: -25.83
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616892, curr_params.time_get_image: 21305, offset_y_cm from origin: 9.23, hokan nasi offset_x_cm for ac: -25.84, offset_x_cm for ac: -25.76
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616903, curr_params.time_get_image: 21305, offset_y_cm from origin: 9.23, hokan nasi offset_x_cm for ac: -25.79, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616914, curr_params.time_get_image: 21305, offset_y_cm from origin: 8.23, hokan nasi offset_x_cm for ac: -25.75, offset_x_cm for ac: -25.65
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616925, curr_params.time_get_image: 21305, offset_y_cm from origin: 7.23, hokan nasi offset_x_cm for ac: -25.71, offset_x_cm for ac: -25.59
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616936, curr_params.time_get_image: 21305, offset_y_cm from origin: 6.23, hokan nasi offset_x_cm for ac: -25.67, offset_x_cm for ac: -25.54
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616947, curr_params.time_get_image: 21305, offset_y_cm from origin: 5.23, hokan nasi offset_x_cm for ac: -25.64, offset_x_cm for ac: -25.49
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616958, curr_params.time_get_image: 21305, offset_y_cm from origin: 4.23, hokan nasi offset_x_cm for ac: -25.61, offset_x_cm for ac: -25.44
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616969, curr_params.time_get_image: 21305, offset_y_cm from origin: 3.23, hokan nasi offset_x_cm for ac: -25.58, offset_x_cm for ac: -25.40
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616980, curr_params.time_get_image: 21305, offset_y_cm from origin: 2.23, hokan nasi offset_x_cm for ac: -25.56, offset_x_cm for ac: -25.36
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 616991, curr_params.time_get_image: 21305, offset_y_cm from origin: 1.23, hokan nasi offset_x_cm for ac: -25.54, offset_x_cm for ac: -25.32
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 617002, curr_params.time_get_image: 21305, offset_y_cm from origin: 0.23, hokan nasi offset_x_cm for ac: -25.52, offset_x_cm for ac: -25.29
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.11, current_time_ms: 617013, curr_params.time_get_image: 21305, offset_y_cm from origin: -0.77, hokan nasi offset_x_cm for ac: -25.50, offset_x_cm for ac: -25.25
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617025, curr_params.time_get_image: 21551, offset_y_cm from origin: 23.04, hokan nasi offset_x_cm for ac: -25.62, offset_x_cm for ac: -25.60
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617036, curr_params.time_get_image: 21551, offset_y_cm from origin: 22.04, hokan nasi offset_x_cm for ac: -25.66, offset_x_cm for ac: -25.63
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617047, curr_params.time_get_image: 21551, offset_y_cm from origin: 21.04, hokan nasi offset_x_cm for ac: -25.70, offset_x_cm for ac: -25.65
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617058, curr_params.time_get_image: 21551, offset_y_cm from origin: 20.04, hokan nasi offset_x_cm for ac: -25.72, offset_x_cm for ac: -25.67
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617069, curr_params.time_get_image: 21551, offset_y_cm from origin: 19.04, hokan nasi offset_x_cm for ac: -25.75, offset_x_cm for ac: -25.68
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617080, curr_params.time_get_image: 21551, offset_y_cm from origin: 18.04, hokan nasi offset_x_cm for ac: -25.77, offset_x_cm for ac: -25.69
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617091, curr_params.time_get_image: 21551, offset_y_cm from origin: 17.04, hokan nasi offset_x_cm for ac: -25.79, offset_x_cm for ac: -25.70
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617102, curr_params.time_get_image: 21551, offset_y_cm from origin: 16.04, hokan nasi offset_x_cm for ac: -25.81, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617113, curr_params.time_get_image: 21551, offset_y_cm from origin: 15.04, hokan nasi offset_x_cm for ac: -25.83, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617124, curr_params.time_get_image: 21551, offset_y_cm from origin: 14.04, hokan nasi offset_x_cm for ac: -25.84, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617135, curr_params.time_get_image: 21551, offset_y_cm from origin: 13.04, hokan nasi offset_x_cm for ac: -25.86, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617146, curr_params.time_get_image: 21551, offset_y_cm from origin: 12.04, hokan nasi offset_x_cm for ac: -25.87, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617157, curr_params.time_get_image: 21551, offset_y_cm from origin: 11.04, hokan nasi offset_x_cm for ac: -25.88, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617168, curr_params.time_get_image: 21551, offset_y_cm from origin: 10.04, hokan nasi offset_x_cm for ac: -25.89, offset_x_cm for ac: -25.70
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617179, curr_params.time_get_image: 21551, offset_y_cm from origin: 8.04, hokan nasi offset_x_cm for ac: -25.89, offset_x_cm for ac: -25.68
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617190, curr_params.time_get_image: 21551, offset_y_cm from origin: 7.04, hokan nasi offset_x_cm for ac: -25.90, offset_x_cm for ac: -25.67
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617201, curr_params.time_get_image: 21551, offset_y_cm from origin: 6.04, hokan nasi offset_x_cm for ac: -25.91, offset_x_cm for ac: -25.67
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617212, curr_params.time_get_image: 21551, offset_y_cm from origin: 5.04, hokan nasi offset_x_cm for ac: -25.91, offset_x_cm for ac: -25.66
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.63, current_time_ms: 617223, curr_params.time_get_image: 21551, offset_y_cm from origin: 4.04, hokan nasi offset_x_cm for ac: -25.92, offset_x_cm for ac: -25.65
