--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
_m for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184134, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184145, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184156, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184167, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184178, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184189, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184200, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184211, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184222, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184233, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184244, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184255, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184266, curr_params.time_get_image: 38991, offset_y_cm from origin: -0.87, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184278, curr_params.time_get_image: 39234, offset_y_cm from origin: 3.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.36
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184289, curr_params.time_get_image: 39234, offset_y_cm from origin: 3.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.36
