send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561842, curr_params.time_get_image: 31892, offset_y_cm from origin: 3.85, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.52
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561853, curr_params.time_get_image: 31892, offset_y_cm from origin: 3.85, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.52
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561864, curr_params.time_get_image: 31892, offset_y_cm from origin: 3.85, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.52
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561875, curr_params.time_get_image: 31892, offset_y_cm from origin: 3.85, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.52
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561886, curr_params.time_get_image: 31892, offset_y_cm from origin: 3.85, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.52
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561897, curr_params.time_get_image: 31892, offset_y_cm from origin: 2.85, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.55
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561908, curr_params.time_get_image: 31892, offset_y_cm from origin: 2.85, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.55
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561919, curr_params.time_get_image: 31892, offset_y_cm from origin: 2.85, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.55
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561930, curr_params.time_get_image: 31892, offset_y_cm from origin: 2.85, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.54
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561941, curr_params.time_get_image: 31892, offset_y_cm from origin: 2.85, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.54
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561952, curr_params.time_get_image: 31892, offset_y_cm from origin: 2.85, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.54
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561963, curr_params.time_get_image: 31892, offset_y_cm from origin: 1.85, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.57
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561974, curr_params.time_get_image: 31892, offset_y_cm from origin: 1.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.57
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561985, curr_params.time_get_image: 31892, offset_y_cm from origin: 1.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.57
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561996, curr_params.time_get_image: 31892, offset_y_cm from origin: 1.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.57
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 562007, curr_params.time_get_image: 31892, offset_y_cm from origin: 1.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.57
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 562018, curr_params.time_get_image: 31892, offset_y_cm from origin: 0.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 562029, curr_params.time_get_image: 31892, offset_y_cm from origin: 0.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 562040, curr_params.time_get_image: 31892, offset_y_cm from origin: 0.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.60
